106.4751 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.359), ('       3:\nmoderately', 0.775)]
106.4896 	DATA 	Question Number: 19 , Response:        3:
moderately
106.5400 	DATA 	Mouse:  Left button up, pos=(1284,267)
106.8238 	DATA 	Mouse: Left button down, pos=(1290,401)
106.9108 	DATA 	Mouse:  Left button up, pos=(1290,400)
107.1572 	DATA 	Mouse: Left button down, pos=(1282,244)
107.1602 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
107.1602 	DATA 	RatingScale unnamed RatingScale: rating RT=0.642
107.1602 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.308), ('       3:\nmoderately', 0.642)]
